,person,year,labinc,wt,age,hours,male,married,pp
67099,4986,1989,70380.02,817398,31,2730,1,1,1
67109,6222,1991,16015.33,194180,28,2457,1,0,1
67111,9052,1998,29432.13,98547,35,1400,1,0,1
67116,10003,1988,47938.92,66402,25,2080,1,1,1
67118,8964,2006,70326.85,154648,41,2080,1,1,1
67119,2132,1989,38709.01,534669,26,2080,0,1,1
67120,479,2000,115248.8,666721,37,2912,1,1,1
67121,11908,1996,54220.79,666995,35,2080,1,1,1
67123,762,1996,44488.85,98475,35,2536,1,1,1
67124,8964,1989,31671.01,126643,25,2040,1,1,1
67128,605,1988,66376.97,598532,25,3002,1,1,1
67129,669,2010,34000.0,747659,49,2080,1,0,1
67131,715,1998,61539.9,846567,39,2080,1,0,1
67134,5177,2000,9731.936,512699,37,1840,1,0,1
67135,8663,1998,25418.65,110028,37,2080,1,1,1
67138,4961,1996,76465.21,532726,33,2496,1,1,1
67140,4811,1990,48402.73,494399,30,2695,1,1,1
67156,6304,1998,46823.84,98649,37,2080,1,0,1
67157,10122,1989,30791.26,95360,25,2210,1,1,1
67162,802,1991,38436.8,671051,29,2540,1,1,1
67168,3195,1987,40307.31,616074,26,2451,1,1,1
67173,11861,1990,23366.84,130520,30,2080,0,0,1
67181,443,1987,21113.35,580445,25,2035,1,1,1
67183,7686,1998,36121.25,202419,39,2080,1,1,1
67184,6717,1992,6683.345,183190,33,660,1,0,1
67186,6648,2004,54256.95,342577,45,2080,1,1,1
67189,424,1984,76740.9,675337,26,2080,1,1,1
67190,797,1996,76465.21,703593,34,2080,1,1,1
67191,5649,1993,28679.31,760814,36,3180,1,0,1
67194,1383,1991,43241.4,141095,29,2080,1,1,1
67197,3570,1992,20205.46,489108,31,2190,1,1,1
67198,704,2000,63323.5,667450,42,2080,0,1,1
67200,3330,2006,156883.0,728431,41,3432,1,1,1
67203,10037,1996,69513.83,69039,33,2080,0,1,1
67204,10037,1998,20067.36,70371,35,3120,0,1,1
67217,8559,1998,34783.42,230313,36,2340,1,1,1
67222,4759,1988,42407.51,689520,30,2080,1,1,1
67224,3324,2008,93206.13,275615,48,2600,1,1,1
67226,4708,1988,11062.83,528800,25,2170,0,0,1
67229,11926,1988,46095.12,112589,25,3380,1,0,1
67234,11861,1993,24151.0,125617,33,2080,0,0,1
67240,5211,2006,38645.14,653700,42,2080,1,1,1
67243,7910,1998,14702.68,194314,35,1600,0,0,1
67245,6081,1991,15214.57,282998,32,1644,1,0,1
67248,5017,1989,78297.77,662343,29,2184,1,1,1
67262,4811,1987,42226.71,481205,27,2600,1,0,1
67267,7025,1988,55314.14,90464,30,2192,1,1,1
67270,417,2000,50658.8,776784,40,2080,1,1,1
67274,9068,1992,9325.599,84670,30,1000,1,0,1
67275,1338,2008,36471.96,606145,48,2080,1,0,1
67277,426,2008,111442.1,153540,50,2496,1,1,1
67283,4731,2006,21657.42,855223,46,1040,1,1,1
67288,6334,2010,19000.0,179363,49,1664,0,1,1
67290,620,1988,47938.92,232697,30,3471,1,1,1
67292,8790,1996,30586.08,76766,35,2080,1,1,1
67297,2601,1998,37459.07,694765,39,2184,1,1,1
67298,11933,1990,37459.07,204948,31,1252,0,0,1
67300,4676,1993,36226.5,577933,31,960,1,0,1
67302,4090,2012,55089.85,578322,49,2496,1,0,1
67305,11794,2000,49392.33,750544,37,2080,0,0,1
67312,93,2000,50658.8,577631,36,2080,1,1,1
67314,7259,2014,64488.18,187931,50,5460,0,1,1
67315,7025,1990,48402.73,88824,32,2080,1,1,1
67323,11822,1993,45283.13,505941,29,2101,1,1,1
67326,10565,1989,21114.0,84363,31,2376,0,0,1
67331,6418,1989,21006.68,99284,29,656,0,0,1
67332,6310,1998,32107.77,136641,40,2080,0,1,1
67337,3435,1984,19513.6,106422,26,1760,0,1,1
67338,9517,1991,6406.134,97617,32,710,0,0,1
67339,10037,2010,15000.0,75402,47,2600,0,1,1
67343,6760,2006,21639.03,494579,41,2704,1,1,1
67346,10340,1987,17274.56,94289,25,2080,0,0,1
67349,7175,1987,21113.35,106851,26,2288,0,0,1
67352,2180,1992,38856.66,572517,30,2080,1,1,1
67353,148,1989,43987.51,522562,26,2289,1,0,1
67356,6404,1993,16600.79,152280,33,1840,0,0,1
67365,10335,2008,34344.43,118092,46,2080,0,0,1
67366,6310,1990,17358.22,130870,32,2080,0,1,1
67372,3435,1985,14653.25,113416,27,2080,0,1,1
67373,2675,2000,8348.57,109165,37,1320,0,1,1
67378,2672,1991,25624.54,149897,32,2080,0,1,1
67379,1610,1989,19002.6,628025,30,1820,0,1,1
67393,9339,1988,33188.48,153435,26,2080,1,0,1
67395,5064,1993,13533.63,540778,33,2231,0,0,1
67397,11886,1988,9219.023000000001,624269,31,2042,0,1,1
67398,8491,1988,46095.12,81229,31,2400,0,1,1
67400,916,1985,42863.29,605004,25,2080,1,0,1
67408,2211,2000,27862.34,169648,39,1521,0,0,1
67409,6404,1992,18651.2,154656,33,2080,0,0,1
67415,9921,1988,14750.44,95848,27,1580,0,1,1
67416,10565,1986,23856.91,86187,28,2168,0,0,1
67421,5498,1988,28763.35,116917,25,2146,0,1,1
67422,2211,1998,36121.25,167753,37,2184,0,0,1
67426,2672,1986,29821.14,149619,27,2080,0,1,1
67428,5526,1991,12812.27,589802,33,2080,0,1,1
67431,2212,1994,22068.75,153536,31,2080,0,0,1
67434,6717,1994,20597.5,177066,35,2080,1,0,1
67437,7067,1998,22743.01,210866,40,2080,0,0,1
67442,8256,1996,44488.85,114719,32,2080,1,1,1
67444,11886,1992,13988.4,612721,35,2080,0,1,1
67461,899,2012,33243.88,1225993,55,2080,1,1,1
67465,6760,2010,16000.0,503246,46,1664,1,1,1
