,person,year,PPamount,labinc,wt,famsize,educ,hours,married
882,9516,2002,40524.4047,72745.75,79617,5,12.0,4160,1
883,1433,1993,40524.4047,45283.13,181836,2,17.0,2832,0
884,11834,1996,40524.4047,41708.3,819751,1,9.0,2288,0
885,2725,2004,40524.4047,10619.35,658206,1,14.0,2600,0
886,5051,1990,40524.4047,33381.2,551192,3,12.0,2080,1
887,5565,2014,40524.4047,64488.18,775920,3,16.0,3867,0
888,4043,1991,40524.4047,71748.7,587535,3,14.0,3310,1
889,4247,2014,40524.4047,6448.818,652599,1,14.0,620,0
890,5162,2000,40524.4047,94985.25,546083,4,12.0,3328,1
891,2864,2002,40524.4047,25461.01,784925,3,12.0,2080,1
892,5939,2010,500.0,35000.0,366783,4,16.0,3640,1
893,1433,1989,500.0,44867.26,183671,1,17.0,2240,0
894,4939,1993,500.0,31698.19,604315,2,16.0,2200,1
895,3575,2010,1000.0,70000.0,917422,4,12.0,2236,1
896,7119,2012,1000.0,326578.3,248698,4,20.0,3120,1
897,11778,2002,606.214608,58196.6,198916,1,15.0,2080,0
898,3086,1990,606.214608,61755.21,711579,1,16.0,2280,0
899,1102,1993,606.214608,152374.7,964321,2,15.0,2070,1
900,4350,1988,606.214608,41485.61,674574,2,16.0,2628,1
901,3389,1988,606.214608,105325.5,656757,2,12.0,2600,1
902,5039,2010,6500.0,86500.0,672703,3,18.0,2392,1
903,2343,2012,379.9299821,51290.55,641653,2,16.0,2236,1
904,9710,1989,379.9299821,35190.01,102974,1,13.0,2534,0
905,4297,1991,379.9299821,67264.41,474814,4,13.0,3324,1
906,8862,2000,379.9299821,48125.86,132322,2,16.0,2600,1
907,4609,2010,379.9299821,160000.0,643317,4,20.0,2392,1
908,9876,1992,379.9299821,88593.18,119328,4,13.0,3160,1
909,7328,1989,379.9299821,21114.0,116881,2,16.0,2080,1
910,5594,2002,379.9299821,67896.04,683063,4,17.0,3328,1
911,770,2014,379.9299821,23952.75,801471,1,12.0,3512,0
912,7652,2014,6448.81822,69094.48,131980,3,14.0,2886,0
913,2125,1990,6448.81822,7510.769,503315,4,9.0,1020,1
914,3637,1998,6448.81822,29432.13,539186,1,12.0,2080,0
915,7081,1992,6448.81822,18651.2,126057,5,13.0,2210,0
916,3673,1986,6448.81822,59642.27,548636,1,16.0,2550,0
917,3555,2000,6448.81822,10131.76,668610,4,12.0,1600,1
918,2015,1992,6448.81822,20982.6,591900,3,13.0,1955,1
919,967,2002,3637.287648,54559.32,587535,4,12.0,2340,1
920,4925,2002,3637.287648,61470.16,585992,5,12.0,2600,1
921,871,2010,3637.287648,60000.0,921340,1,12.0,2600,1
922,6411,1994,3637.287648,36781.25,90634,4,17.0,2524,1
923,1843,1984,3637.287648,76740.9,762064,4,17.0,2080,1
924,3882,1992,3637.287648,59062.12,709719,1,16.0,2125,0
925,4137,1992,3637.287648,45073.73,565028,6,16.0,2444,0
926,3700,1986,3637.287648,26640.21,137071,3,13.0,2112,0
