,person,year,labinc,wt,famsize,educ,age,hours,male,married,race_white,race_black,pp
5001,4201,1987,17274.56,193560.0,1.0,13.0,26.0,2080.0,1.0,0.0,0.0,1.0,1.0
5002,9597,1990,123982.8,65276.0,3.0,16.0,30.0,2190.0,0.0,1.0,1.0,0.0,0.0
5003,61,2002,63046.32,570482.0,4.0,14.0,39.0,2184.0,0.0,1.0,1.0,0.0,1.0
5004,1563,1989,66861.02,824567.0,1.0,18.0,29.0,2600.0,1.0,0.0,1.0,0.0,0.0
5005,1393,2000,50658.8,923813.0,4.0,15.0,41.0,1893.0,1.0,1.0,1.0,0.0,1.0
5006,6576,1998,61539.9,79250.0,4.0,12.0,35.0,2496.0,1.0,1.0,0.0,1.0,0.0
5007,9426,2010,35000.0,130510.0,5.0,16.0,52.0,1440.0,1.0,1.0,0.0,0.0,1.0
5008,817,1991,60858.27,641413.0,1.0,16.0,27.0,2328.0,1.0,0.0,1.0,0.0,1.0
5009,2172,1992,77713.32,557422.0,5.0,14.0,29.0,3200.0,1.0,1.0,1.0,0.0,0.0
5010,8918,2002,42435.02,75218.0,1.0,14.0,38.0,2080.0,0.0,0.0,0.0,0.0,0.0
5011,12039,1991,19218.4,432726.0,1.0,12.0,30.0,2080.0,1.0,0.0,1.0,0.0,0.0
5012,4513,1991,60858.27,117651.0,4.0,14.0,32.0,2226.0,1.0,1.0,0.0,0.0,1.0
5013,10229,2006,36786.35,111510.0,3.0,14.0,45.0,2664.0,0.0,0.0,0.0,1.0,0.0
5014,3343,1993,27047.61,519597.0,2.0,10.0,29.0,2080.0,0.0,1.0,1.0,0.0,1.0
5015,6159,2002,60621.46,200345.0,3.0,15.0,39.0,2108.0,0.0,0.0,0.0,1.0,1.0
5016,8468,1990,68431.45,180869.0,1.0,12.0,30.0,2132.0,1.0,0.0,0.0,0.0,1.0
5017,3809,2008,103337.2,566895.0,4.0,16.0,46.0,2028.0,0.0,1.0,1.0,0.0,1.0
5018,11777,2008,79387.31,195697.0,3.0,14.0,49.0,2600.0,0.0,0.0,0.0,1.0,0.0
5019,368,1993,31698.19,215033.0,1.0,17.0,35.0,2174.0,0.0,0.0,0.0,1.0,0.0
5020,660,1986,35387.75,497517.0,2.0,14.0,26.0,2581.0,0.0,1.0,1.0,0.0,0.0
5021,8468,1991,70467.47,173731.0,2.0,12.0,31.0,2204.0,1.0,1.0,0.0,0.0,1.0
5022,8468,1992,80821.85,177089.0,3.0,12.0,32.0,2408.0,1.0,1.0,0.0,0.0,1.0
5023,8468,1993,72453.0,175735.0,3.0,12.0,33.0,2158.0,1.0,1.0,0.0,0.0,0.0
5024,4509,2002,99419.2,589364.0,6.0,14.0,38.0,2340.0,1.0,1.0,1.0,0.0,0.0
5025,1362,2002,81232.76,601147.0,4.0,17.0,39.0,2080.0,0.0,1.0,1.0,0.0,0.0
5026,8468,2002,76383.04,211477.0,4.0,12.0,42.0,2600.0,1.0,1.0,0.0,0.0,1.0
5027,777,2002,137004.5,812696.0,1.0,16.0,39.0,2650.0,1.0,0.0,1.0,0.0,1.0
5028,3421,2000,67122.91,569911.0,2.0,13.0,38.0,3120.0,0.0,0.0,1.0,0.0,1.0
5029,383,1987,44146.1,225732.0,2.0,12.0,26.0,2080.0,1.0,0.0,0.0,1.0,1.0
5030,3770,2008,60280.05,603213.0,2.0,12.0,46.0,2080.0,0.0,1.0,1.0,0.0,1.0
5031,4634,2010,312324.0,722278.0,6.0,18.0,49.0,2080.0,1.0,1.0,1.0,0.0,1.0
5032,806,1989,41348.26,666579.0,3.0,12.0,27.0,2496.0,1.0,1.0,1.0,0.0,1.0
5033,3916,1984,50357.67,187048.0,1.0,18.0,26.0,2405.0,1.0,0.0,1.0,0.0,0.0
5034,778,2010,72000.0,1009585.0,5.0,17.0,45.0,2340.0,1.0,1.0,1.0,0.0,1.0
5035,1025,2002,72000.0,294513.0,5.0,8.0,44.0,560.0,0.0,0.0,0.0,1.0,0.0
5036,1724,1998,80269.44,108223.0,3.0,12.0,34.0,2600.0,1.0,1.0,0.0,0.0,0.0
5037,2460,1996,23634.7,680743.0,4.0,12.0,37.0,2444.0,1.0,1.0,1.0,0.0,0.0
5038,9764,1990,40057.43,104308.0,3.0,12.0,32.0,2270.0,1.0,1.0,0.0,1.0,0.0
5039,29,1987,32629.73,694080.0,3.0,12.0,26.0,1935.0,0.0,0.0,1.0,0.0,0.0
5040,9082,1990,41726.49,75816.0,3.0,8.0,28.0,2080.0,1.0,1.0,1.0,0.0,1.0
5041,9308,1990,38388.37,213187.0,2.0,12.0,26.0,2005.0,0.0,0.0,0.0,1.0,0.0
5042,4821,2004,66955.38,624262.0,4.0,16.0,40.0,2600.0,0.0,1.0,1.0,0.0,1.0
5043,8469,2012,79785.3,211823.0,4.0,16.0,49.0,2860.0,1.0,1.0,0.0,0.0,1.0
5044,3694,2000,74721.73,1226496.0,4.0,11.0,42.0,2600.0,1.0,1.0,1.0,0.0,1.0
5045,11913,2010,74422.0,695320.0,3.0,12.0,48.0,2080.0,1.0,1.0,1.0,0.0,1.0
5046,5924,1991,24023.0,199288.0,4.0,12.0,29.0,2080.0,1.0,0.0,0.0,1.0,0.0
5047,11913,2012,78746.19,696862.0,3.0,12.0,51.0,2080.0,1.0,1.0,1.0,0.0,1.0
5048,2572,2014,59881.88,663881.0,3.0,16.0,52.0,2600.0,1.0,1.0,1.0,0.0,0.0
5049,806,1990,38388.37,683278.0,3.0,12.0,28.0,2528.0,1.0,1.0,1.0,0.0,0.0
5050,922,1986,85723.84,514737.0,1.0,12.0,25.0,2600.0,1.0,0.0,1.0,0.0,0.0
5051,2921,2008,75983.26,879007.0,3.0,12.0,44.0,1760.0,1.0,1.0,1.0,0.0,0.0
5052,483,1991,36835.27,708123.0,4.0,12.0,34.0,2080.0,1.0,1.0,1.0,0.0,1.0
5053,5764,2008,311858.6,200010.0,1.0,16.0,45.0,2600.0,1.0,0.0,0.0,0.0,1.0
5054,9410,1990,27539.48,69463.0,2.0,12.0,28.0,2340.0,1.0,0.0,1.0,0.0,0.0
5055,4821,2012,68387.4,689715.0,4.0,16.0,48.0,2600.0,0.0,1.0,1.0,0.0,1.0
5056,438,2010,35000.0,488012.0,2.0,13.0,47.0,2550.0,0.0,1.0,1.0,0.0,0.0
5057,9389,2002,133367.2,118476.0,4.0,18.0,38.0,2340.0,1.0,1.0,0.0,0.0,0.0
5058,8110,1998,41472.54,96020.0,4.0,14.0,40.0,2080.0,0.0,1.0,0.0,0.0,1.0
